iter	Logloss
0	0.6179463278
1	0.5566312019
2	0.5053697974
3	0.4622044988
4	0.4231317718
5	0.3920997938
6	0.3621243046
7	0.3329580546
8	0.3077887323
9	0.2829579639
10	0.2647661441
11	0.2497954772
12	0.2323954518
13	0.2181618054
14	0.2063686148
15	0.1942770062
16	0.1825310547
17	0.1722493638
18	0.162344301
19	0.1524323941
20	0.1442209217
21	0.135934251
22	0.1283341015
23	0.1214186921
24	0.1148645819
25	0.1092214973
26	0.1044382374
27	0.09979287344
28	0.09383976614
29	0.09008550016
30	0.08669006124
31	0.08332933917
32	0.08085237449
33	0.07741348554
34	0.07499400444
35	0.07317846253
36	0.0713745253
37	0.06898861136
38	0.0667476586
39	0.0645620358
40	0.06326468812
41	0.06208939993
42	0.06132284967
43	0.06011957534
44	0.05868461251
45	0.05674427997
46	0.05592649646
47	0.0546806465
48	0.05395837749
49	0.05259211428
50	0.05173934944
51	0.05096052522
52	0.04986411098
53	0.0490036223
54	0.04821307467
55	0.04754630294
56	0.04657170531
57	0.04585775387
58	0.04555754386
59	0.0443282238
60	0.04342769363
61	0.04281990059
62	0.04217270567
63	0.04150302468
64	0.04052842165
65	0.04007548884
66	0.03964365493
67	0.03831862607
68	0.03804883917
69	0.03762946813
70	0.03703462645
71	0.03594334794
72	0.03539440136
73	0.03499679042
74	0.034886314
75	0.03463593928
76	0.03448293581
77	0.03436550738
78	0.03379558065
79	0.03330677322
80	0.03301750938
81	0.03282475318
82	0.0323547777
83	0.03128403676
84	0.03070430812
85	0.0302564058
86	0.02987389981
87	0.02966910445
88	0.02937652653
89	0.02918758097
90	0.02885004172
91	0.02868022228
92	0.02829456144
93	0.02743495255
94	0.02653808999
95	0.02634246231
96	0.02613998518
97	0.02596833327
98	0.02590734401
99	0.02578294199
